;frase;ner
75;   “Lovely,” said Rita Skeeter, and in a second, her  scarlet-taloned fingers had Harry’s upper arm in a  surprisingly strong grip, and she was steering him  out of the room again and opening a nearby door;[{'label': 'PERSON', 'start': 18, 'end': 30}, {'label': 'ORDINAL', 'start': 41, 'end': 47}, {'label': 'PERSON', 'start': 82, 'end': 87}]
76;" Harry told the turban he didn’t want  to be in Slytherin; it got heavier and heavier; he tried  to pull it off but it tightened painfully — and there  was Malfoy, laughing at him as he struggled with it —  then Malfoy turned into the hook-nosed teacher,  Snape, whose laugh became high and cold — there  was a burst of green light and Harry woke, sweating  and shaking";[{'label': 'ORG', 'start': 48, 'end': 57}, {'label': 'PERSON', 'start': 336, 'end': 341}]
77;Had Hagrid  collected that package just in time? Where was it  now? And did Hagrid know something about Snape  that he didn’t want to tell Harry?           9      THE MIDNIGHT DUEL   Harry had never believed he would meet a boy he  hated more than Dudley, but that was before he met  Draco Malfoy;[{'label': 'PERSON', 'start': 105, 'end': 110}, {'label': 'PERSON', 'start': 140, 'end': 145}, {'label': 'PERCENT', 'start': 157, 'end': 164}, {'label': 'PERSON', 'start': 249, 'end': 255}, {'label': 'PERSON', 'start': 285, 'end': 297}]
78;          Dumbledore had told us that he would be leaving the  school for a few hours and that we were to patrol the  corridors just in case  Remus, Bill, and  Nymphadora were to join us  and so we patrolled;[{'label': 'TIME', 'start': 74, 'end': 85}]
79;   “I am Remus John Lupin, werewolf, sometimes known  as Moony, one of the four creators of the Marauder’s  Map, married to Nymphadora, usually known as  Tonks, and I taught you how to produce a Patronus,  Harry, which takes the form of a stag;[{'label': 'PERSON', 'start': 9, 'end': 25}, {'label': 'PERSON', 'start': 57, 'end': 62}, {'label': 'CARDINAL', 'start': 64, 'end': 67}, {'label': 'CARDINAL', 'start': 75, 'end': 79}, {'label': 'PERSON', 'start': 96, 'end': 104}, {'label': ‘PERSON', 'start': 124, 'end': 134}]
80;" We  are very pleased to welcome back Professor Grubbly-  Plank, who will be taking Care of Magical Creatures  lessons; we are also delighted to introduce Professor  Umbridge, our new Defense Against the Dark Arts  teacher";[{'label': 'PERSON', 'start': 58, 'end': 63}, {'label': 'ORG', 'start': 84, 'end': 109}, {'label': ‘PERSON', 'start': 166, 'end': 174}]
81; As she was not much taller standing than  sitting, there was a moment when nobody understood  why Dumbledore had stopped talking, but then  Professor Umbridge said, “Hem, hem,” and it became  clear that she had got to her feet and was intending to  make a speech;[{'label': 'PERSON', 'start': 151, 'end': 159}, {'label': 'PERSON', 'start': 167, 'end': 170}]
82;" Dozens of  heavy spellbooks came thundering down on all their  heads; there was a yell of, “Get him, Dad!” from Fred  or George; Mrs Weasley was shrieking, “No, Arthur,  no!”; the crowd stampeded backward, knocking more  shelves over; “Gentlemen, please — please!” cried the  assistant, and then, louder than all —   “Break it up, there, gents, break it up — ”   Hagrid was wading toward them through the sea of  books";[{'label': 'CARDINAL', 'start': 1, 'end': 7}, {'label': 'PERSON', 'start': 113, 'end': 117}, {'label': 'PERSON', 'start': 122, 'end': 128}, {'label': 'PERSON', 'start': 130, 'end': 141}, {'label': 'PERSON', 'start': 162, 'end': 168}]
83;   It had been clipped out of the Daily Prophet, and it  said:   INQUIRY AT THE MINISTRY OF MAGIC   Arthur Weasley, Head of the Misuse of Muggle  Artifacts Office, was today fined fifty Galleons for  bewitching a Muggle car;[{'label': 'EVENT', 'start': 30, 'end': 47}, {'label': 'ORG', 'start': 76, 'end': 97}, {'label': 'PERSON', 'start': 100, 'end': 114}, {'label': 'DATE', 'start': 168, 'end': 173}, {'label': 'MONEY', 'start': 180, 'end': 194}]
84;   “Can you see all your family standing around you?”   “No — I’m alone — but I’m different — I look older —  and I’m Head Boy!”   “What?”           “I am — I’m wearing the badge like Bill used to — and  I’m holding the House Cup and the Quidditch Cup —  I’m Quidditch captain, too!”   Ron tore his eyes away from this splendid sight to  look excitedly at Harry;[{'label': 'PERSON', 'start': 184, 'end': 188}, {'label': 'EVENT', 'start': 216, 'end': 229}, {'label': 'EVENT', 'start': 234, 'end': 251}, {'label': ‘ORG', 'start': 259, 'end': 268}]
85;   “Beds empty\ No note\ Car gone — could have crashed  — out of my mind with worry — did you care? —  never, as long as I’ve lived — you wait until your father  gets home, we never had trouble like this from Bill or  Charlie or Percy — ”   “Perfect Percy,” muttered Fred;[{'label': 'PERSON', 'start': 209, 'end': 213}, {'label': 'PERSON', 'start': 218, 'end': 236}, {'label': ‘PERSON', 'start': 242, 'end': 255}, {'label': 'PERSON', 'start': 267, 'end': 271}]
86;   “Beds empty\ No note\ Car gone — could have crashed  — out of my mind with worry — did you care? —  never, as long as I’ve lived — you wait until your father  gets home, we never had trouble like this from Bill or  Charlie or Percy — ”   “Perfect Percy,” muttered Fred;[{'label': 'PERSON', 'start': 209, 'end': 213}, {'label': 'PERSON', 'start': 218, 'end': 236}, {'label': ‘PERSON', 'start': 242, 'end': 255}, {'label': 'PERSON', 'start': 267, 'end': 271}]
87;" ”   The tiny kitchen exploded with laughter; Harry looked  around and saw that Ron and George were sitting at  the scrubbed wooden table with two red-haired people  Harry had never seen before, though he knew        immediately who they must be: Bill and Charlie, the  two eldest Weasley brothers";[{'label': 'PERSON', 'start': 46, 'end': 51}, {'label': 'PERSON', 'start': 80, 'end': 83}, {'label': 'PERSON', 'start': 88, 'end': 94}, {'label': 'CARDINAL', 'start': 143, 'end': 146}, {'label': 'PERSON', 'start': 247, 'end': 251}, {'label': 'PERSON', 'start': 256, 'end': 263}, {'label': 'CARDINAL', 'start': 270, 'end': 273}, {'label': 'PERSON', 'start': 281, 'end': 288}]
88; Once he caught  sight of a flash of gold, but it was just a reflection  from one of the Weasleys’ wristwatches, and once a  Bludger decided to come pelting his way, more like a  cannonball than anything, but Harry dodged it and  Fred Weasley came chasing after it;[{'label': 'CARDINAL', 'start': 78, 'end': 81}, {'label': 'PERSON', 'start': 209, 'end': 214}, {'label': 'PERSON', 'start': 230, 'end': 242}]
89;  Harry pulled a wizard cracker with Fred and it didn’t  just bang, it went off with a blast like a cannon and        engulfed them all in a cloud of blue smoke, while from  the inside exploded a rear admiral’s hat and several  live, white mice;[{'label': 'PERSON', 'start': 37, 'end': 41}]
90;   After a meal of turkey sandwiches, crumpets, trifle,  and Christmas cake, everyone felt too full and sleepy  to do much before bed except sit and watch Percy  chase Fred and George all over Gryffindor Tower  because they’d stolen his prefect badge;[{'label': 'GPE', 'start': 19, 'end': 25}, {'label': 'DATE', 'start': 61, 'end': 70}, {'label': 'PERSON', 'start': 155, 'end': 160}, {'label': 'PERSON', 'start': 162, 'end': 172}, {'label': 'PERSON', 'start': 177, 'end': 183}, {'label': 'FAC', 'start': 193, 'end': 209}]
91; “That’s  exactly the sort of thing that’ll lose us the match!  Snape’s refereeing this time, and he’ll be looking for  any excuse to knock points off Gryffindor!”   George Weasley really did fall off his broom at these  words;[{'label': ‘ORG', 'start': 151, 'end': 161}, {'label': 'PERSON', 'start': 166, 'end': 180}]
92;  “All those raids  I hope they’re paying you  overtime?”   He reached into Ginny’s cauldron and extracted, from  amid the glossy Lockhart books, a very old, very  battered copy of A Beginner’s Guide to Transfiguration;[{'label': 'PERSON', 'start': 76, 'end': 81}, {'label': 'ORG', 'start': 130, 'end': 138}, {'label': 'WORK_OF_ART', 'start': 181, 'end': 218}]
93;" “The company you keep, Weasley   and I thought your family could sink no lower — ”   There was a thud of metal as Ginny’s cauldron went  flying; Mr Weasley had thrown himself at Mr Malfoy,  knocking him backward into a bookshelf";[{'label': 'PERSON', 'start': 24, 'end': 34}, {'label': 'PERSON', 'start': 115, 'end': 120}, {'label': 'PERSON', 'start': 149, 'end': 156}, {'label': 'PERSON', 'start': 179, 'end': 188}]
94;   “Well, there are an awful lot of wizard fires to choose  from, you know, but as long as you’ve spoken clearly     “He’ll be fine, Molly, don’t fuss,” said Mr Weasley,  helping himself to Floo powder, too;[{'label': 'PERSON', 'start': 158, 'end': 168}, {'label': 'PERSON', 'start': 190, 'end': 194}]
95;”   “But he’s not dead, he’s fine, so what’s the point — ”   “Molly, they say Sirius Black’s mad, and maybe he is,  but he was clever enough to escape from Azkaban,  and that’s supposed to be impossible;[{'label': ‘PERSON', 'start': 78, 'end': 92}, {'label': 'ORG', 'start': 156, 'end': 163}]
96;”   On Harry’s other side, Percy Weasley and Hermione  were talking about lessons (“I do hope they start right  away, there’s so much to learn, I’m particularly  interested in Transfiguration, you know, turning  something into something else, of course, it’s  supposed to be very difficult — “You’ll be starting  small, just matches into needles and that sort of  thing — ”);[{'label': 'PERSON', 'start': 27, 'end': 40}, {'label': 'PERSON', 'start': 45, 'end': 53}]
97; He  was too sleepy even to be surprised that the people in  the portraits along the corridors whispered and  pointed as they passed, or that twice Percy led them  through doorways hidden behind sliding panels and  hanging tapestries;[{'label': 'PERSON', 'start': 148, 'end': 153}]
98;   Around half past twelve there was a great clattering  outside in the corridor and a smiling, dimpled woman  slid back their door and said, “Anything off the cart,  dears?”   Harry, who hadn’t had any breakfast, leapt to his feet,  but Ron’s ears went pink again and he muttered that  he’d brought sandwiches;[{'label': 'CARDINAL', 'start': 3, 'end': 26}, {'label': 'PERSON', 'start': 238, 'end': 241}]
99;”   Feeling oddly as though his legs had turned to lead,  Harry got into line behind a boy with sandy hair, with  Ron behind him, and they walked out of the chamber,  back across the hall, and through a pair of double  doors into the Great Hall;[{'label': 'FAC', 'start': 230, 'end': 244}]
100; “Dobby has never  been asked to sit down by a wizard — like an equal —     Harry, trying to say “Shh!” and look comforting at the  same time, ushered Dobby back onto the bed where  he sat hiccoughing, looking like a large and very ugly  doll;[]
101; Then, without warning, he  leapt up and started banging his head furiously on  the window, shouting, “Bad Dobby! Bad Dobby!”   “Don’t — what are you doing?” Harry hissed,  springing up and pulling Dobby back onto the bed —  Hedwig had woken up with a particularly loud  screech and was beating her wings wildly against the  bars of her cage;[{'label': 'PERSON', 'start': 158, 'end': 163}, {'label': 'PERSON', 'start': 198, 'end': 203}]
102; He  asked if he knew how to get past Fluffy — and he said  something about Quirrell’s ‘hocus-pocus’ — I reckon  there are other things guarding the stone apart from  Fluffy, loads of enchantments, probably, and Quirrell           would have done some anti-Dark Arts spell that  Snape needs to break through — ”   “So you mean the Stone’s only safe as long as Quirrell  stands up to Snape?” said Hermione in alarm;[{'label': 'PERSON', 'start': 76, 'end': 84}, {'label': 'PERSON', 'start': 212, 'end': 231}, {'label': ‘PRODUCT', 'start': 331, 'end': 336}, {'label': 'PERSON', 'start': 360, 'end': 368}, {'label': 'PERSON', 'start': 396, 'end': 404}]
103; “Don’ go shoutin’ about it,  what’s the matter with yeh?”   “There are a few things we wanted to ask you, as a  matter of fact,” said Harry, “about what’s guarding  the Stone apart from Fluffy — ”   “SHHHH!” said Hagrid again;[{'label': 'PRODUCT', 'start': 53, 'end': 56}, {'label': 'PERSON', 'start': 135, 'end': 140}, {'label': 'PRODUCT', 'start': 170, 'end': 175}, {'label': ‘PRODUCT', 'start': 201, 'end': 206}]
104; Then, without warning, he  leapt up and started banging his head furiously on  the window, shouting, “Bad Dobby! Bad Dobby!”   “Don’t — what are you doing?” Harry hissed,  springing up and pulling Dobby back onto the bed —  Hedwig had woken up with a particularly loud  screech and was beating her wings wildly against the  bars of her cage;[{'label': 'PERSON', 'start': 158, 'end': 163}, {'label': 'PERSON', 'start': 198, 'end': 203}]
105;"   Both trolleys hit the barrier and bounced backward;  Ron’s trunk fell off with a loud thump, Harry was  knocked off his feet, and Hedwig’s cage bounced onto  the shiny floor, and she rolled away, shrieking  indignantly; people all around them stared and a  guard nearby yelled, “What in blazes d’you think  you’re doing?”   “Lost control of the trolley,” Harry gasped, clutching  his ribs as he got up";[{'label': 'PERSON', 'start': 96, 'end': 101}, {'label': 'PERSON', 'start': 133, 'end': 139}, {'label': 'PERSON', 'start': 358, 'end': 363}]
106;   Myrtle gave a tragic sob, rose up in the air, turned  over, and dived headfirst into the toilet, splashing  water all over them and vanishing from sight,  although from the direction of her muffled sobs, she  had come to rest somewhere in the U-bend;[{'label': ‘PERSON', 'start': 3, 'end': 9}]
107; “Come to  throw something else at me?”   Harry waded across to her stall and said, “Why would  I throw something at you?”   “Don’t ask me,” Myrtle shouted, emerging with a wave  of yet more water, which splashed onto the already  sopping floor;[{'label': 'PERSON', 'start': 141, 'end': 147}]
108;"”   Aragog clicked his pincers furiously, and all around  the hollow the sound was echoed by the crowd of         spiders; it was like applause, except applause didn’t  usually make Harry feel sick with fear";[{'label': ‘PERSON', 'start': 4, 'end': 10}]
109;" For nearly a  quarter of an hour he spoke into the rapt silence: He  told them about hearing the disembodied voice, how  Hermione had finally realized that he was hearing a  basilisk in the pipes; how he and Ron had followed  the spiders into the forest, that Aragog had told them  where the last victim of the basilisk had died; how he  had guessed that Moaning Myrtle had been the  victim, and that the entrance to the Chamber of  Secrets might be in her bathroom";[{'label': 'DATE', 'start': 5, 'end': 22}, {'label': 'PERSON', 'start': 209, 'end': 212}, {'label': ‘PERSON', 'start': 261, 'end': 267}]
110; The back, under what  looked like a dirty brownish smock comprised of  animal skins sewn roughly together, was very broad,  and as Grawp slept, it seemed to strain a little at the  rough seams of the skins;[{'label': ‘PERSON', 'start': 132, 'end': 137}]
111; “An’ I don’ wan’ yeh ter  put yerself out too much, like I know yeh’ve got  exams If yeh could jus’ nip down here in yer  Invisibility Cloak maybe once a week an’ have a little  chat with him  I’ll wake him up, then — introduce  you — ”   “Wha — no!” said Hermione, jumping up, “Hagrid, no,  don’t wake him, really, we don’t need — ”   But Hagrid had already stepped over the great trunk  in front of them and was proceeding toward Grawp;[{'label': 'PRODUCT', 'start': 18, 'end': 25}, {'label': 'PRODUCT', 'start': 86, 'end': 89}, {'label': 'PRODUCT', 'start': 123, 'end': 141}, {'label': 'PERSON', 'start': 257, 'end': 265}, {'label': ‘PERSON', 'start': 433, 'end': 438}]
